country_code,country_name,region,sub_region,intermediate_region,income_group,organization_name,is_aggregate
TTO,Trinidad Y Tobago,,LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,,,False
TUN,Tunez,ORIENTE MEDIO Y NORTE DE ÁFRICA (EXCLUIDO ALTOS INGRESOS),NORTHERN AFRICA,,,,False
TKM,Turkmenistan,EUROPA Y ASIA CENTRAL (EXCLUIDO ALTOS INGRESOS),CENTRAL ASIA,,,,False
TUR,Turquia,EUROPA Y ASIA CENTRAL (EXCLUIDO ALTOS INGRESOS),WESTERN ASIA,,,,False
TUV,Tuvalu,ASIA ORIENTAL Y EL PACÍFICO (EXCLUIDO ALTOS INGRESOS),POLYNESIA,,,,False
UKR,Ucrania,EUROPA Y ASIA CENTRAL (EXCLUIDO ALTOS INGRESOS),EASTERN EUROPE,,,,False
UGA,Uganda,ÁFRICA AL SUR DEL SAHARA (EXCLUIDO ALTOS INGRESOS),SUB-SAHARAN AFRICA,EASTERN AFRICA,,,False
URY,Uruguay,,LATIN AMERICA AND THE CARIBBEAN,SOUTH AMERICA,,,False
UZB,Uzbekistan,EUROPA Y ASIA CENTRAL (EXCLUIDO ALTOS INGRESOS),CENTRAL ASIA,,,,False
VUT,Vanuatu,ASIA ORIENTAL Y EL PACÍFICO (EXCLUIDO ALTOS INGRESOS),MELANESIA,,,,False
VEN,Venezuela,,LATIN AMERICA AND THE CARIBBEAN,SOUTH AMERICA,,,False
VNM,Viet Nam,ASIA ORIENTAL Y EL PACÍFICO (EXCLUIDO ALTOS INGRESOS),SOUTH-EASTERN ASIA,,,,False
YEM,"Yemen, Rep. Del",ORIENTE MEDIO Y NORTE DE ÁFRICA (EXCLUIDO ALTOS INGRESOS),WESTERN ASIA,,,,False
ZMB,Zambia,ÁFRICA AL SUR DEL SAHARA (EXCLUIDO ALTOS INGRESOS),SUB-SAHARAN AFRICA,EASTERN AFRICA,,,False
ZWE,Zimbabwe,ÁFRICA AL SUR DEL SAHARA (EXCLUIDO ALTOS INGRESOS),SUB-SAHARAN AFRICA,EASTERN AFRICA,,,False
MIC,INGRESO MEDIANO,,,,AGREGADOS,,True
SSF,Africa Al Sur Del Sahara,,,,AGREGADOS,,True
TSS,Africa Al Sur Del Sahara (Birf Y La Aif),,,,AGREGADOS,,True
SSA,Africa Al Sur Del Sahara (Excluido Altos Ingresos),,,,AGREGADOS,,True
NAC,America Del Norte,,,,AGREGADOS,,True
LCN,America Latina Y El Caribe,,,,AGREGADOS,,True
TLA,America Latina Y El Caribe (Birf Y La Aif),,,,AGREGADOS,,True
LAC,America Latina Y El Caribe (Excluido Altos Ingresos),,,,AGREGADOS,,True
SAS,Asia Meridional,,,,AGREGADOS,,True
TSA,Asia Meridional (Birf Y La Aif),,,,AGREGADOS,,True
EAS,Asia Oriental Y El Pacifico,,,,AGREGADOS,,True
TEA,Asia Oriental Y El Pacifico (Birf Y La Aif),,,,AGREGADOS,,True
EAP,Asia Oriental Y El Pacifico (Excluido Altos Ingresos),,,,AGREGADOS,,True
LTE,Avanzada Del Dividendo Demografico,,,,AGREGADOS,,True
IBT,Birf Y La Aif,,,,AGREGADOS,,True
ARB,El Mundo Arabe,,,,AGREGADOS,,True
PSS,Estados Pequeos De Las Islas Del Pacfico,,,,AGREGADOS,,True
CSS,Estados Pequeos Del Caribe,,,,AGREGADOS,,True
CEB,Europa Central Y Del Baltico,,,,AGREGADOS,,True
ECS,Europa Y Asia Central,,,,AGREGADOS,,True
TEC,Europa Y Asia Central (Birf Y La Aif),,,,AGREGADOS,,True
ECA,Europa Y Asia Central (Excluido Altos Ingresos),,,,AGREGADOS,,True
FCS,Fragiles Y Situaciones De Conflicto Afectados,,,,AGREGADOS,,True
HIC,INGRESO ALTO,,,,AGREGADOS,,True
UMC,Ingreso Mediano Alto,,,,AGREGADOS,,True
LMY,Ingreso Mediano Y Bajo,,,,AGREGADOS,,True
EAR,Inicial Del Dividendo Demografico,,,,AGREGADOS,,True
CHI,Islas Del Canal,,,,INGRESO ALTO,,False
XKX,Kosovo,EUROPA Y ASIA CENTRAL (EXCLUIDO ALTOS INGRESOS),,,INGRESO MEDIANO ALTO,,False
IDB,Mezcla De La Aif,,,,AGREGADOS,,True
OED,Miembros Ocde,,,,AGREGADOS,,True
WLD,Mundo,,,,AGREGADOS,,True
INX,No Clasificado,,,,AGREGADOS,,True
MEA,Oriente Medio Y Norte De Africa,,,,AGREGADOS,,True
TMN,Oriente Medio Y Norte De Africa (Birf Y La Aif),,,,AGREGADOS,,True
MNA,Oriente Medio Y Norte De Africa (Excluido Altos Ingresos),,,,AGREGADOS,,True
OSS,Otros Estados Pequeos,,,,AGREGADOS,,True
LIC,Paises De Ingreso Bajo,,,,AGREGADOS,,True
LMC,Paises De Ingreso Mediano Bajo,,,,AGREGADOS,,True
LDC,Paises Menos Desarrollados: Clasificacion De Las Naciones Unidas,,,,AGREGADOS,,True
HPC,Paises Pobres Muy Endeudados (Ppme),,,,AGREGADOS,,True
SST,Pequenos Estados,,,,AGREGADOS,,True
PST,Posterior Al Dividendo Demografico,,,,AGREGADOS,,True
PRE,Previa Al Dividendo Demografico,,,,AGREGADOS,,True
IDX,Solo Aif,,,,AGREGADOS,,True
IBD,Solo Birf,,,,AGREGADOS,,True
IDA,Total De La Aif,,,,AGREGADOS,,True
EUU,Union Europea,,,,AGREGADOS,,True
EMU,Zona Del Euro,,,,AGREGADOS,,True
AFE,,,,,AGREGADOS,,True
AFW,,,,,AGREGADOS,,True
AFE,,NO DATA,,,AGREGADOS,,True
AFW,,NO DATA,,,AGREGADOS,,True
ARB,,NO DATA,,,AGREGADOS,EL MUNDO ÁRABE,True
CEB,,NO DATA,,,AGREGADOS,EUROPA CENTRAL Y DEL BÁLTICO,True
CHI,,NO DATA,,,INGRESO ALTO,ISLAS DEL CANAL,False
CSS,,NO DATA,,,AGREGADOS,ESTADOS PEQUEOS DEL CARIBE,True
EAP,,NO DATA,,,AGREGADOS,ASIA ORIENTAL Y EL PACÍFICO (EXCLUIDO ALTOS INGRESOS),True
EAR,,NO DATA,,,AGREGADOS,INICIAL DEL DIVIDENDO DEMOGRÁFICO,True
EAS,,NO DATA,,,AGREGADOS,ASIA ORIENTAL Y EL PACÍFICO,True
ECA,,NO DATA,,,AGREGADOS,EUROPA Y ASIA CENTRAL (EXCLUIDO ALTOS INGRESOS),True
ECS,,NO DATA,,,AGREGADOS,EUROPA Y ASIA CENTRAL,True
EMU,,NO DATA,,,AGREGADOS,ZONA DEL EURO,True
EUU,,NO DATA,,,AGREGADOS,UNIÓN EUROPEA,True
FCS,,NO DATA,,,AGREGADOS,FRÁGILES Y SITUACIONES DE CONFLICTO AFECTADOS,True
HIC,,NO DATA,,,AGREGADOS,INGRESO ALTO,True
HPC,,NO DATA,,,AGREGADOS,PAÍSES POBRES MUY ENDEUDADOS (PPME),True
IBD,,NO DATA,,,AGREGADOS,SÓLO BIRF,True
IBT,,NO DATA,,,AGREGADOS,BIRF Y LA AIF,True
IDA,,NO DATA,,,AGREGADOS,TOTAL DE LA AIF,True
IDB,,NO DATA,,,AGREGADOS,MEZCLA DE LA AIF,True
IDX,,NO DATA,,,AGREGADOS,SÓLO AIF,True
INX,,NO DATA,,,AGREGADOS,NO CLASIFICADO,True
LAC,,NO DATA,,,AGREGADOS,AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),True
LCN,,NO DATA,,,AGREGADOS,AMÉRICA LATINA Y EL CARIBE,True
LDC,,NO DATA,,,AGREGADOS,PAÍSES MENOS DESARROLLADOS: CLASIFICACIÓN DE LAS NACIONES UNIDAS,True
LIC,,NO DATA,,,AGREGADOS,PAÍSES DE INGRESO BAJO,True
LMC,,NO DATA,,,AGREGADOS,PAÍSES DE INGRESO MEDIANO BAJO,True
LMY,,NO DATA,,,AGREGADOS,INGRESO MEDIANO Y BAJO,True
LTE,,NO DATA,,,AGREGADOS,AVANZADA DEL DIVIDENDO DEMOGRÁFICO,True
MEA,,NO DATA,,,AGREGADOS,ORIENTE MEDIO Y NORTE DE ÁFRICA,True
MIC,,NO DATA,,,AGREGADOS, INGRESO MEDIANO,True
MNA,,NO DATA,,,AGREGADOS,ORIENTE MEDIO Y NORTE DE ÁFRICA (EXCLUIDO ALTOS INGRESOS),True
NAC,,NO DATA,,,AGREGADOS,AMÉRICA DEL NORTE,True
OED,,NO DATA,,,AGREGADOS,MIEMBROS OCDE,True
OSS,,NO DATA,,,AGREGADOS,OTROS ESTADOS PEQUEOS,True
PRE,,NO DATA,,,AGREGADOS,PREVIA AL DIVIDENDO DEMOGRÁFICO,True
PSS,,NO DATA,,,AGREGADOS,ESTADOS PEQUEOS DE LAS ISLAS DEL PACFICO,True
PST,,NO DATA,,,AGREGADOS,POSTERIOR AL DIVIDENDO DEMOGRÁFICO,True
SAS,,NO DATA,,,AGREGADOS,ASIA MERIDIONAL,True
SSA,,NO DATA,,,AGREGADOS,ÁFRICA AL SUR DEL SAHARA (EXCLUIDO ALTOS INGRESOS),True
SSF,,NO DATA,,,AGREGADOS,ÁFRICA AL SUR DEL SAHARA,True
SST,,NO DATA,,,AGREGADOS,PEQUEÑOS ESTADOS,True
TEA,,NO DATA,,,AGREGADOS,ASIA ORIENTAL Y EL PACÍFICO (BIRF Y LA AIF),True
TEC,,NO DATA,,,AGREGADOS,EUROPA Y ASIA CENTRAL (BIRF Y LA AIF),True
TLA,,NO DATA,,,AGREGADOS,AMÉRICA LATINA Y EL CARIBE (BIRF Y LA AIF),True
TMN,,NO DATA,,,AGREGADOS,ORIENTE MEDIO Y NORTE DE ÁFRICA (BIRF Y LA AIF),True
TSA,,NO DATA,,,AGREGADOS,ASIA MERIDIONAL (BIRF Y LA AIF),True
TSS,,NO DATA,,,AGREGADOS,ÁFRICA AL SUR DEL SAHARA (BIRF Y LA AIF),True
UMC,,NO DATA,,,AGREGADOS,INGRESO MEDIANO ALTO,True
WLD,,NO DATA,,,AGREGADOS,MUNDO,True
XKX,,EUROPA Y ASIA CENTRAL (EXCLUIDO ALTOS INGRESOS),,,INGRESO MEDIANO ALTO,KOSOVO,False
